SERIES, WRITER, PUBLISHER
AMAZING SPIDER-MAN, NICK SPENCER, MARVEL
ACTION COMICS, BRIAN MICHAEL BENDIS, DC
ADVENTUREMAN, MATT FRACTION, IMAGE
AVENGERS, JASON AARON, MARVEL
BATMAN, JAMES TYNION IV, DC
CAPTAIN AMERICA, TA-NEHISI COATES, MARVEL
DAREDEVIL, CHIP ZDARSKY, MARVEL
DEATH METAL, SCOTT SNYDER, DC
DETECTIVE COMICS, PETER J. TOMASI, DC
DOCTOR STRANGE, MARK WAID, MARVEL
RED HOOD, SCOTT LOBDELL, DC
SPAWN, TODD MCFARLANE, IMAGE
THOR, DONNY CATES, MARVEL
UNDISCOVERED COUNTRY, SCOTT SNYDER, IMAGE
VENOM, DONNY CATES, MARVEL
X-MEN, JONATHAN HICKMAN, MARVEL
