WRITER, SERIES, PUBLISHER
BRIAN MICHAEL BENDIS, ACTION COMICS, DC
CHIP ZDARSKY, DAREDEVIL, MARVEL
DONNY CATES, THOR, MARVEL
DONNY CATES, VENOM, MARVEL
JAMES TYNION IV, BATMAN, DC
JASON AARON, AVENGERS, MARVEL
JONATHAN HICKMAN, X-MEN, MARVEL
MARK WAID, DOCTOR STRANGE, MARVEL
MATT FRACTION, ADVENTUREMAN, IMAGE
NICK SPENCER, AMAZING SPIDER-MAN, MARVEL
PETER J. TOMASI, DETECTIVE COMICS, DC
SCOTT LOBDELL, RED HOOD, DC
SCOTT SNYDER, DEATH METAL, DC
SCOTT SNYDER, UNDISCOVERED COUNTRY, IMAGE
TA-NEHISI COATES, CAPTAIN AMERICA, MARVEL
TODD MCFARLANE, SPAWN, IMAGE
DC
