PUBLISHER, SERIES, WRITER
DC, ACTION COMICS, BRIAN MICHAEL BENDIS
DC, BATMAN, JAMES TYNION IV
DC, DEATH METAL, SCOTT SNYDER
DC, DETECTIVE COMICS, PETER J. TOMASI
DC, RED HOOD, SCOTT LOBDELL
IMAGE, ADVENTUREMAN, MATT FRACTION
IMAGE, SPAWN, TODD MCFARLANE
IMAGE, UNDISCOVERED COUNTRY, SCOTT SNYDER
MARVEL, AMAZING SPIDER-MAN, NICK SPENCER
MARVEL, AVENGERS, JASON AARON
MARVEL, CAPTAIN AMERICA,TA-NEHISI COATES
MARVEL, DAREDEVIL, CHIP ZDARSKY
MARVEL, DOCTOR STRANGE, MARK WAID
MARVEL, THOR, DONNY CATES
MARVEL, VENOM, DONNY CATES
MARVEL, X-MEN, JONATHAN HICKMAN
