SERIES, WRITER, PUBLISHER
AMAZING SPIDER-MAN, NICK SPENCER, MARVEL
BATMAN, JAMES TYNION IV, DC
DEATH METAL, SCOTT SNYDER, DC
THOR, DONNY CATES, MARVEL
UNDISCOVERED COUNTRY, SCOTT SNYDER, IMAGE
X-MEN, JONATHAN HICKMAN, MARVEL
RED HOOD, SCOTT LOBDELL, DC
VENOM, DONNY CATES, MARVEL
SPAWN, TODD MCFARLANE, IMAGE
AVENGERS, JASON AARON, MARVEL
DETECTIVE COMICS, PETER J. TOMASI, DC
ACTION COMICS, BRIAN MICHAEL BENDIS, DC
DOCTOR STRANGE, MARK WAID, MARVEL
ADVENTUREMAN, MATT FRACTION, IMAGE
DAREDEVIL, CHIP ZDARSKY, MARVEL
CAPTAIN AMERICA, TA-NEHISI COATES, MARVEL
